Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,5.430000,5.780000,5.350000,5.360000,5.360000,7459400
2021-10-12,5.350000,5.410000,5.130000,5.210000,5.210000,5603100
2021-10-13,5.170000,5.350000,5.050000,5.310000,5.310000,5376000
2021-10-14,5.300000,5.400000,5.130000,5.170000,5.170000,4452600
2021-10-15,5.240000,5.240000,4.970000,4.990000,4.990000,5648100
2021-10-18,5.000000,5.060000,4.830000,4.860000,4.860000,6325700
2021-10-19,4.870000,4.980000,4.660000,4.870000,4.870000,7758200
2021-10-20,4.830000,4.970000,4.700000,4.870000,4.870000,4573700
2021-10-21,4.840000,4.950000,4.710000,4.740000,4.740000,5528800
2021-10-22,4.490000,4.720000,4.050000,4.720000,4.720000,11817200
2021-10-25,4.460000,4.760000,4.390000,4.680000,4.680000,5844700
2021-10-26,4.590000,4.660000,4.430000,4.500000,4.500000,5606400
2021-10-27,4.440000,4.650000,4.320000,4.350000,4.350000,5147500
2021-10-28,4.360000,4.670000,4.280000,4.560000,4.560000,12070800
2021-10-29,4.750000,5.020000,4.450000,4.700000,4.700000,17120200
2021-11-01,4.830000,5.490000,4.810000,4.950000,4.950000,19058100
2021-11-02,4.940000,5.150000,4.840000,4.940000,4.940000,7026600
2021-11-03,4.920000,4.960000,4.770000,4.920000,4.920000,4963000
2021-11-04,4.900000,5.060000,4.830000,4.880000,4.880000,4145200
2021-11-05,4.930000,4.990000,4.790000,4.990000,4.990000,5281800
2021-11-08,5.030000,5.310000,5.020000,5.270000,5.270000,8383900
2021-11-09,5.200000,5.420000,5.010000,5.170000,5.170000,5504000
2021-11-10,5.060000,5.070000,4.700000,4.780000,4.780000,6625500
2021-11-11,4.810000,4.930000,4.710000,4.720000,4.720000,3795900
2021-11-12,4.750000,4.820000,4.660000,4.810000,4.810000,3333200
2021-11-15,4.840000,4.940000,4.740000,4.770000,4.770000,4776800
2021-11-16,4.420000,4.620000,4.290000,4.580000,4.580000,8659000
2021-11-17,4.480000,4.630000,4.370000,4.400000,4.400000,3708900
2021-11-18,4.430000,4.430000,4.130000,4.310000,4.310000,5069800
2021-11-19,4.230000,4.510000,4.130000,4.200000,4.200000,6930600
2021-11-22,4.240000,4.240000,3.850000,3.870000,3.870000,8330500
2021-11-23,3.880000,3.950000,3.680000,3.760000,3.760000,5917100
2021-11-24,3.730000,4.270000,3.720000,4.130000,4.130000,8750600
2021-11-26,4.020000,4.060000,3.800000,3.900000,3.900000,4930800
2021-11-29,3.940000,4.050000,3.730000,3.760000,3.760000,7496600
2021-11-30,3.750000,3.760000,3.470000,3.670000,3.670000,13416000
2021-12-01,3.750000,3.820000,3.300000,3.360000,3.360000,7770600
2021-12-02,3.380000,3.480000,3.270000,3.340000,3.340000,4987600
2021-12-03,3.370000,3.440000,3.080000,3.190000,3.190000,9328100
2021-12-06,3.000000,3.180000,2.820000,3.160000,3.160000,7159900
2021-12-07,3.250000,3.440000,3.210000,3.340000,3.340000,4584100
2021-12-08,3.380000,3.500000,3.240000,3.410000,3.410000,5241400
2021-12-09,3.380000,3.420000,3.140000,3.200000,3.200000,4018300
2021-12-10,3.250000,3.250000,3.070000,3.130000,3.130000,4062600
2021-12-13,3.080000,3.530000,3.080000,3.090000,3.090000,9235900
